stationId,polluant,valeur,date,heure
3,"SO2",3,"2024-09-27",14
3,"O3",12,"2024-09-27",14
3,"NO2",1,"2024-09-27",14
3,"PM",5,"2024-09-27",14
6,"SO2",1,"2024-09-27",14
6,"O3",10,"2024-09-27",14
6,"NO2",1,"2024-09-27",14
6,"PM",5,"2024-09-27",14
17,"O3",11,"2024-09-27",14
17,"NO2",1,"2024-09-27",14
17,"PM",5,"2024-09-27",14
28,"CO",1,"2024-09-27",14
28,"O3",10,"2024-09-27",14
28,"NO2",2,"2024-09-27",14
28,"PM",6,"2024-09-27",14
31,"SO2",0,"2024-09-27",14
31,"CO",1,"2024-09-27",14
31,"O3",13,"2024-09-27",14
31,"NO2",1,"2024-09-27",14
31,"PM",4,"2024-09-27",14
50,"PM",4,"2024-09-27",14
55,"CO",1,"2024-09-27",14
55,"O3",11,"2024-09-27",14
55,"NO2",1,"2024-09-27",14
3,"SO2",1,"2024-09-27",10
3,"O3",10,"2024-09-27",10
3,"NO2",2,"2024-09-27",10
3,"PM",9,"2024-09-27",10
6,"SO2",1,"2024-09-27",10
6,"O3",7,"2024-09-27",10
6,"NO2",2,"2024-09-27",10
6,"PM",8,"2024-09-27",10
17,"O3",8,"2024-09-27",10
17,"NO2",2,"2024-09-27",10
17,"PM",7,"2024-09-27",10
28,"CO",1,"2024-09-27",10
28,"O3",5,"2024-09-27",10
28,"NO2",3,"2024-09-27",10
28,"PM",10,"2024-09-27",10
31,"SO2",0,"2024-09-27",10
31,"CO",1,"2024-09-27",10
31,"O3",7,"2024-09-27",10
31,"NO2",2,"2024-09-27",10
31,"PM",7,"2024-09-27",10
50,"PM",7,"2024-09-27",10
55,"CO",1,"2024-09-27",10
55,"O3",9,"2024-09-27",10
55,"NO2",1,"2024-09-27",10
55,"PM",7,"2024-09-27",10
66,"O3",10,"2024-09-27",10
66,"NO2",1,"2024-09-27",10
66,"PM",5,"2024-09-27",10
80,"SO2",1,"2024-09-27",10
80,"O3",7,"2024-09-27",10
80,"NO2",3,"2024-09-27",10
80,"PM",8,"2024-09-27",10
99,"O3",11,"2024-09-27",10
99,"NO2",1,"2024-09-27",10
99,"PM",5,"2024-09-27",10
103,"O3",5,"2024-09-27",10
103,"NO2",3,"2024-09-27",10
103,"PM",9,"2024-09-27",10
28,"O3",6,"2024-09-27",5
28,"NO2",2,"2024-09-27",5
28,"PM",9,"2024-09-27",5
31,"SO2",0,"2024-09-27",5
31,"CO",1,"2024-09-27",5
31,"O3",8,"2024-09-27",5
31,"NO2",2,"2024-09-27",5
31,"PM",7,"2024-09-27",5
50,"PM",6,"2024-09-27",5
55,"CO",1,"2024-09-27",5
55,"O3",6,"2024-09-27",5
55,"NO2",1,"2024-09-27",5
55,"PM",6,"2024-09-27",5
66,"O3",7,"2024-09-27",5
66,"NO2",2,"2024-09-27",5
66,"PM",6,"2024-09-27",5
80,"SO2",1,"2024-09-27",5
80,"O3",9,"2024-09-27",5
80,"NO2",2,"2024-09-27",5
80,"PM",7,"2024-09-27",5
99,"O3",10,"2024-09-27",5
99,"NO2",1,"2024-09-27",5
99,"PM",6,"2024-09-27",5
3,"SO2",1,"2024-09-27",7
3,"O3",3,"2024-09-27",7
3,"NO2",4,"2024-09-27",7
3,"PM",8,"2024-09-27",7
6,"SO2",1,"2024-09-27",7
6,"O3",2,"2024-09-27",7
6,"NO2",5,"2024-09-27",7
6,"PM",9,"2024-09-27",7
17,"O3",3,"2024-09-27",7
17,"NO2",3,"2024-09-27",7
17,"PM",8,"2024-09-27",7
28,"CO",1,"2024-09-27",7
28,"O3",2,"2024-09-27",7
28,"NO2",4,"2024-09-27",7
28,"PM",9,"2024-09-27",7
31,"SO2",0,"2024-09-27",7
31,"CO",1,"2024-09-27",7
31,"O3",5,"2024-09-27",7
31,"NO2",3,"2024-09-27",7
31,"PM",7,"2024-09-27",7
50,"PM",7,"2024-09-27",7
55,"CO",1,"2024-09-27",7
55,"O3",3,"2024-09-27",7
55,"NO2",2,"2024-09-27",7
55,"PM",7,"2024-09-27",7
66,"O3",4,"2024-09-27",7
66,"NO2",4,"2024-09-27",7
66,"PM",6,"2024-09-27",7
80,"SO2",1,"2024-09-27",7
80,"O3",4,"2024-09-27",7
80,"NO2",4,"2024-09-27",7
80,"PM",7,"2024-09-27",7
99,"O3",9,"2024-09-27",7
99,"NO2",1,"2024-09-27",7
99,"PM",6,"2024-09-27",7
103,"O3",2,"2024-09-27",7
103,"NO2",4,"2024-09-27",7
103,"PM",9,"2024-09-27",7
3,"SO2",1,"2024-09-27",5
3,"O3",6,"2024-09-27",5
3,"NO2",3,"2024-09-27",5
3,"PM",7,"2024-09-27",5
6,"SO2",1,"2024-09-27",5
6,"O3",5,"2024-09-27",5
6,"NO2",3,"2024-09-27",5
6,"PM",7,"2024-09-27",5
17,"O3",8,"2024-09-27",5
17,"NO2",2,"2024-09-27",5
17,"PM",7,"2024-09-27",5
28,"CO",1,"2024-09-27",5
103,"O3",3,"2024-09-27",5
103,"NO2",4,"2024-09-27",5
103,"PM",8,"2024-09-27",5
3,"SO2",1,"2024-09-27",8
3,"O3",7,"2024-09-27",8
3,"NO2",2,"2024-09-27",8
3,"PM",9,"2024-09-27",8
6,"SO2",1,"2024-09-27",8
6,"O3",3,"2024-09-27",8
6,"NO2",3,"2024-09-27",8
6,"PM",10,"2024-09-27",8
17,"O3",5,"2024-09-27",8
17,"NO2",3,"2024-09-27",8
17,"PM",8,"2024-09-27",8
28,"CO",1,"2024-09-27",8
28,"O3",4,"2024-09-27",8
28,"NO2",3,"2024-09-27",8
28,"PM",9,"2024-09-27",8
31,"SO2",0,"2024-09-27",8
31,"CO",1,"2024-09-27",8
31,"O3",6,"2024-09-27",8
31,"NO2",3,"2024-09-27",8
31,"PM",7,"2024-09-27",8
50,"PM",7,"2024-09-27",8
55,"CO",1,"2024-09-27",8
55,"O3",5,"2024-09-27",8
55,"NO2",2,"2024-09-27",8
55,"PM",8,"2024-09-27",8
66,"O3",7,"2024-09-27",8
66,"NO2",3,"2024-09-27",8
66,"PM",6,"2024-09-27",8
80,"SO2",1,"2024-09-27",8
80,"O3",4,"2024-09-27",8
80,"NO2",4,"2024-09-27",8
80,"PM",8,"2024-09-27",8
99,"O3",9,"2024-09-27",8
99,"NO2",1,"2024-09-27",8
99,"PM",6,"2024-09-27",8
103,"O3",3,"2024-09-27",8
103,"NO2",4,"2024-09-27",8
103,"PM",10,"2024-09-27",8
3,"SO2",1,"2024-09-27",6
3,"O3",6,"2024-09-27",6
3,"NO2",3,"2024-09-27",6
3,"PM",8,"2024-09-27",6
6,"SO2",1,"2024-09-27",6
6,"O3",2,"2024-09-27",6
6,"NO2",4,"2024-09-27",6
6,"PM",8,"2024-09-27",6
17,"O3",4,"2024-09-27",6
17,"NO2",3,"2024-09-27",6
17,"PM",7,"2024-09-27",6
28,"CO",1,"2024-09-27",6
28,"O3",3,"2024-09-27",6
28,"NO2",3,"2024-09-27",6
28,"PM",8,"2024-09-27",6
31,"SO2",0,"2024-09-27",6
31,"CO",1,"2024-09-27",6
31,"O3",6,"2024-09-27",6
31,"NO2",2,"2024-09-27",6
31,"PM",7,"2024-09-27",6
50,"PM",6,"2024-09-27",6
55,"CO",1,"2024-09-27",6
55,"O3",4,"2024-09-27",6
55,"NO2",1,"2024-09-27",6
55,"PM",6,"2024-09-27",6
66,"O3",7,"2024-09-27",6
66,"NO2",2,"2024-09-27",6
66,"PM",6,"2024-09-27",6
80,"SO2",1,"2024-09-27",6
80,"O3",4,"2024-09-27",6
80,"NO2",3,"2024-09-27",6
80,"PM",7,"2024-09-27",6
99,"O3",9,"2024-09-27",6
99,"NO2",1,"2024-09-27",6
99,"PM",6,"2024-09-27",6
103,"O3",2,"2024-09-27",6
103,"NO2",4,"2024-09-27",6
103,"PM",8,"2024-09-27",6
3,"SO2",1,"2024-09-27",9
3,"O3",8,"2024-09-27",9
3,"NO2",2,"2024-09-27",9
3,"PM",10,"2024-09-27",9
6,"SO2",1,"2024-09-27",9
6,"O3",6,"2024-09-27",9
6,"NO2",2,"2024-09-27",9
6,"PM",9,"2024-09-27",9
17,"O3",6,"2024-09-27",9
17,"NO2",2,"2024-09-27",9
17,"PM",7,"2024-09-27",9
28,"CO",1,"2024-09-27",9
28,"O3",4,"2024-09-27",9
28,"NO2",3,"2024-09-27",9
28,"PM",10,"2024-09-27",9
80,"SO2",1,"2024-09-27",9
80,"O3",6,"2024-09-27",9
80,"NO2",3,"2024-09-27",9
80,"PM",8,"2024-09-27",9
31,"SO2",0,"2024-09-27",9
31,"CO",1,"2024-09-27",9
31,"O3",6,"2024-09-27",9
31,"NO2",3,"2024-09-27",9
31,"PM",7,"2024-09-27",9
50,"PM",7,"2024-09-27",9
99,"O3",9,"2024-09-27",9
99,"NO2",1,"2024-09-27",9
99,"PM",6,"2024-09-27",9
103,"O3",4,"2024-09-27",9
103,"NO2",4,"2024-09-27",9
103,"PM",10,"2024-09-27",9
55,"CO",1,"2024-09-27",9
55,"O3",8,"2024-09-27",9
55,"NO2",1,"2024-09-27",9
55,"PM",7,"2024-09-27",9
66,"O3",9,"2024-09-27",9
66,"NO2",2,"2024-09-27",9
66,"PM",6,"2024-09-27",9
3,"SO2",1,"2024-09-27",2
3,"O3",13,"2024-09-27",2
3,"NO2",1,"2024-09-27",2
3,"PM",7,"2024-09-27",2
6,"SO2",1,"2024-09-27",2
6,"O3",9,"2024-09-27",2
6,"NO2",2,"2024-09-27",2
6,"PM",7,"2024-09-27",2
17,"O3",11,"2024-09-27",2
17,"NO2",1,"2024-09-27",2
17,"PM",7,"2024-09-27",2
28,"CO",1,"2024-09-27",2
28,"O3",7,"2024-09-27",2
28,"NO2",3,"2024-09-27",2
28,"PM",9,"2024-09-27",2
31,"SO2",0,"2024-09-27",2
31,"CO",1,"2024-09-27",2
31,"O3",11,"2024-09-27",2
31,"NO2",2,"2024-09-27",2
31,"PM",7,"2024-09-27",2
50,"PM",6,"2024-09-27",2
55,"CO",1,"2024-09-27",2
55,"O3",10,"2024-09-27",2
55,"NO2",1,"2024-09-27",2
55,"PM",7,"2024-09-27",2
66,"O3",11,"2024-09-27",2
66,"NO2",2,"2024-09-27",2
66,"PM",6,"2024-09-27",2
80,"SO2",1,"2024-09-27",2
80,"O3",10,"2024-09-27",2
80,"NO2",3,"2024-09-27",2
80,"PM",6,"2024-09-27",2
80,"O3",11,"2024-09-27",13
80,"NO2",2,"2024-09-27",13
80,"PM",4,"2024-09-27",13
99,"O3",14,"2024-09-27",13
99,"NO2",1,"2024-09-27",13
99,"PM",3,"2024-09-27",13
103,"O3",11,"2024-09-27",13
103,"NO2",2,"2024-09-27",13
103,"PM",5,"2024-09-27",13
3,"SO2",1,"2024-09-27",12
3,"O3",11,"2024-09-27",12
3,"NO2",1,"2024-09-27",12
3,"PM",5,"2024-09-27",12
6,"SO2",1,"2024-09-27",12
6,"O3",8,"2024-09-27",12
6,"NO2",1,"2024-09-27",12
6,"PM",6,"2024-09-27",12
17,"O3",10,"2024-09-27",12
3,"SO2",1,"2024-09-27",3
3,"O3",11,"2024-09-27",3
3,"NO2",2,"2024-09-27",3
3,"PM",6,"2024-09-27",3
6,"SO2",1,"2024-09-27",3
6,"O3",10,"2024-09-27",3
6,"NO2",2,"2024-09-27",3
6,"PM",7,"2024-09-27",3
17,"O3",11,"2024-09-27",3
17,"NO2",1,"2024-09-27",3
17,"PM",7,"2024-09-27",3
28,"CO",1,"2024-09-27",3
28,"O3",4,"2024-09-27",3
28,"NO2",4,"2024-09-27",3
28,"PM",8,"2024-09-27",3
31,"SO2",0,"2024-09-27",3
31,"CO",1,"2024-09-27",3
31,"O3",12,"2024-09-27",3
31,"NO2",1,"2024-09-27",3
31,"PM",7,"2024-09-27",3
50,"PM",7,"2024-09-27",3
55,"CO",1,"2024-09-27",3
55,"NO2",1,"2024-09-27",3
55,"PM",7,"2024-09-27",3
66,"O3",11,"2024-09-27",3
66,"NO2",1,"2024-09-27",3
66,"PM",6,"2024-09-27",3
80,"SO2",1,"2024-09-27",3
80,"O3",10,"2024-09-27",3
80,"NO2",2,"2024-09-27",3
80,"PM",7,"2024-09-27",3
99,"O3",9,"2024-09-27",3
99,"NO2",1,"2024-09-27",3
99,"PM",6,"2024-09-27",3
103,"O3",9,"2024-09-27",3
103,"NO2",2,"2024-09-27",3
103,"PM",8,"2024-09-27",3
55,"NO2",1,"2024-09-27",11
55,"PM",5,"2024-09-27",11
55,"O3",11,"2024-09-27",3
66,"O3",12,"2024-09-27",11
66,"NO2",1,"2024-09-27",11
66,"PM",4,"2024-09-27",11
80,"SO2",1,"2024-09-27",11
80,"O3",10,"2024-09-27",11
80,"NO2",2,"2024-09-27",11
80,"PM",6,"2024-09-27",11
99,"O3",12,"2024-09-27",11
99,"NO2",1,"2024-09-27",11
99,"PM",4,"2024-09-27",11
103,"O3",9,"2024-09-27",11
103,"NO2",2,"2024-09-27",11
103,"PM",8,"2024-09-27",11
3,"O3",11,"2024-09-27",11
17,"NO2",1,"2024-09-27",12
17,"PM",5,"2024-09-27",12
28,"CO",1,"2024-09-27",12
28,"O3",8,"2024-09-27",12
28,"NO2",3,"2024-09-27",12
28,"PM",8,"2024-09-27",12
31,"SO2",0,"2024-09-27",12
31,"CO",1,"2024-09-27",12
31,"O3",11,"2024-09-27",12
31,"NO2",1,"2024-09-27",12
31,"PM",5,"2024-09-27",12
50,"PM",5,"2024-09-27",12
55,"CO",1,"2024-09-27",12
55,"O3",11,"2024-09-27",12
55,"NO2",1,"2024-09-27",12
55,"PM",4,"2024-09-27",12
66,"O3",12,"2024-09-27",12
66,"NO2",1,"2024-09-27",12
66,"PM",3,"2024-09-27",12
80,"SO2",1,"2024-09-27",12
80,"O3",10,"2024-09-27",12
80,"NO2",2,"2024-09-27",12
80,"PM",5,"2024-09-27",12
99,"O3",13,"2024-09-27",12
99,"NO2",1,"2024-09-27",12
99,"PM",3,"2024-09-27",12
103,"O3",11,"2024-09-27",12
103,"NO2",1,"2024-09-27",12
103,"PM",6,"2024-09-27",12
3,"SO2",1,"2024-09-27",11
3,"NO2",1,"2024-09-27",11
3,"PM",7,"2024-09-27",11
6,"SO2",1,"2024-09-27",11
6,"O3",8,"2024-09-27",11
6,"NO2",2,"2024-09-27",11
6,"PM",6,"2024-09-27",11
17,"O3",9,"2024-09-27",11
17,"NO2",2,"2024-09-27",11
17,"PM",6,"2024-09-27",11
28,"CO",1,"2024-09-27",11
28,"O3",7,"2024-09-27",11
28,"NO2",2,"2024-09-27",11
28,"PM",9,"2024-09-27",11
31,"SO2",0,"2024-09-27",11
31,"CO",1,"2024-09-27",11
31,"O3",10,"2024-09-27",11
31,"NO2",1,"2024-09-27",11
31,"PM",6,"2024-09-27",11
50,"PM",6,"2024-09-27",11
55,"CO",1,"2024-09-27",11
55,"O3",11,"2024-09-27",11
99,"O3",10,"2024-09-27",2
99,"NO2",1,"2024-09-27",2
99,"PM",6,"2024-09-27",2
103,"O3",8,"2024-09-27",2
103,"NO2",2,"2024-09-27",2
103,"PM",9,"2024-09-27",2
3,"SO2",1,"2024-09-27",1
3,"O3",9,"2024-09-27",1
3,"NO2",3,"2024-09-27",1
3,"PM",8,"2024-09-27",1
6,"SO2",1,"2024-09-27",1
6,"O3",7,"2024-09-27",1
6,"NO2",4,"2024-09-27",1
6,"PM",8,"2024-09-27",1
17,"O3",10,"2024-09-27",1
17,"NO2",2,"2024-09-27",1
17,"PM",8,"2024-09-27",1
28,"CO",1,"2024-09-27",1
28,"O3",6,"2024-09-27",1
28,"NO2",4,"2024-09-27",1
28,"PM",9,"2024-09-27",1
31,"SO2",0,"2024-09-27",1
31,"CO",1,"2024-09-27",1
31,"O3",11,"2024-09-27",1
31,"NO2",2,"2024-09-27",1
31,"PM",7,"2024-09-27",1
50,"PM",6,"2024-09-27",1
55,"CO",1,"2024-09-27",1
55,"O3",8,"2024-09-27",1
55,"NO2",2,"2024-09-27",1
55,"PM",7,"2024-09-27",1
66,"O3",9,"2024-09-27",1
66,"NO2",3,"2024-09-27",1
66,"PM",6,"2024-09-27",1
80,"SO2",1,"2024-09-27",1
80,"O3",10,"2024-09-27",1
80,"NO2",3,"2024-09-27",1
80,"PM",7,"2024-09-27",1
99,"O3",12,"2024-09-27",1
99,"NO2",1,"2024-09-27",1
99,"PM",6,"2024-09-27",1
103,"O3",6,"2024-09-27",1
103,"NO2",3,"2024-09-27",1
103,"PM",10,"2024-09-27",1
3,"SO2",1,"2024-09-27",0
3,"O3",6,"2024-09-27",0
3,"NO2",6,"2024-09-27",0
3,"PM",8,"2024-09-27",0
6,"SO2",1,"2024-09-27",0
6,"O3",5,"2024-09-27",0
6,"NO2",5,"2024-09-27",0
6,"PM",8,"2024-09-27",0
17,"O3",3,"2024-09-27",0
17,"NO2",6,"2024-09-27",0
17,"PM",8,"2024-09-27",0
28,"CO",1,"2024-09-27",0
28,"O3",4,"2024-09-27",0
28,"NO2",4,"2024-09-27",0
28,"PM",10,"2024-09-27",0
31,"SO2",0,"2024-09-27",0
31,"CO",1,"2024-09-27",0
31,"O3",14,"2024-09-27",0
31,"NO2",2,"2024-09-27",0
31,"PM",7,"2024-09-27",0
50,"PM",7,"2024-09-27",0
55,"CO",1,"2024-09-27",0
55,"O3",8,"2024-09-27",0
55,"NO2",2,"2024-09-27",0
55,"PM",7,"2024-09-27",0
66,"O3",11,"2024-09-27",0
66,"NO2",2,"2024-09-27",0
66,"PM",6,"2024-09-27",0
80,"SO2",1,"2024-09-27",0
80,"O3",12,"2024-09-27",0
80,"NO2",3,"2024-09-27",0
80,"PM",8,"2024-09-27",0
99,"O3",11,"2024-09-27",0
99,"NO2",2,"2024-09-27",0
99,"PM",6,"2024-09-27",0
103,"O3",7,"2024-09-27",0
103,"NO2",3,"2024-09-27",0
103,"PM",10,"2024-09-27",0
3,"SO2",2,"2024-09-27",4
3,"O3",8,"2024-09-27",4
3,"NO2",2,"2024-09-27",4
3,"PM",7,"2024-09-27",4
6,"SO2",1,"2024-09-27",4
6,"O3",6,"2024-09-27",4
6,"NO2",3,"2024-09-27",4
6,"PM",7,"2024-09-27",4
17,"O3",9,"2024-09-27",4
17,"NO2",1,"2024-09-27",4
17,"PM",7,"2024-09-27",4
28,"CO",1,"2024-09-27",4
28,"O3",5,"2024-09-27",4
28,"NO2",3,"2024-09-27",4
28,"PM",8,"2024-09-27",4
31,"SO2",0,"2024-09-27",4
31,"CO",1,"2024-09-27",4
31,"O3",10,"2024-09-27",4
31,"NO2",2,"2024-09-27",4
31,"PM",7,"2024-09-27",4
50,"PM",7,"2024-09-27",4
55,"CO",1,"2024-09-27",4
55,"O3",7,"2024-09-27",4
55,"NO2",1,"2024-09-27",4
55,"PM",6,"2024-09-27",4
3,"O3",12,"2024-09-27",13
3,"NO2",1,"2024-09-27",13
3,"PM",5,"2024-09-27",13
6,"SO2",1,"2024-09-27",13
6,"O3",10,"2024-09-27",13
6,"NO2",1,"2024-09-27",13
6,"PM",5,"2024-09-27",13
17,"O3",11,"2024-09-27",13
17,"NO2",1,"2024-09-27",13
17,"PM",5,"2024-09-27",13
28,"CO",1,"2024-09-27",13
28,"O3",9,"2024-09-27",13
28,"NO2",2,"2024-09-27",13
28,"PM",7,"2024-09-27",13
31,"SO2",0,"2024-09-27",13
31,"CO",1,"2024-09-27",13
31,"O3",11,"2024-09-27",13
31,"NO2",1,"2024-09-27",13
31,"PM",4,"2024-09-27",13
50,"PM",4,"2024-09-27",13
55,"CO",1,"2024-09-27",13
55,"PM",4,"2024-09-27",14
66,"O3",14,"2024-09-27",14
66,"NO2",1,"2024-09-27",14
66,"PM",3,"2024-09-27",14
80,"SO2",1,"2024-09-27",14
80,"O3",12,"2024-09-27",14
80,"NO2",2,"2024-09-27",14
80,"PM",5,"2024-09-27",14
99,"O3",15,"2024-09-27",14
99,"NO2",1,"2024-09-27",14
99,"PM",3,"2024-09-27",14
103,"O3",10,"2024-09-27",14
103,"NO2",2,"2024-09-27",14
103,"PM",5,"2024-09-27",14
3,"SO2",1,"2024-09-27",13
55,"O3",11,"2024-09-27",13
55,"NO2",1,"2024-09-27",13
55,"PM",4,"2024-09-27",13
66,"O3",13,"2024-09-27",13
66,"NO2",1,"2024-09-27",13
66,"PM",3,"2024-09-27",13
80,"SO2",1,"2024-09-27",13
66,"O3",9,"2024-09-27",4
66,"NO2",2,"2024-09-27",4
66,"PM",6,"2024-09-27",4
80,"SO2",1,"2024-09-27",4
80,"O3",9,"2024-09-27",4
80,"NO2",2,"2024-09-27",4
80,"PM",7,"2024-09-27",4
99,"O3",8,"2024-09-27",4
99,"NO2",1,"2024-09-27",4
99,"PM",7,"2024-09-27",4
103,"O3",5,"2024-09-27",4
103,"NO2",3,"2024-09-27",4
103,"PM",8,"2024-09-27",4
